client_id,Delinquent90
75000,0.04816155540437203
75001,0.46295025603828377
75002,0.01831636517313773
75003,0.06666095875984103
75004,0.007161888544132577
75005,0.016706524503859753
75006,0.011849424918226763
75007,0.018387456506650475
75008,0.03268455113549218
75009,0.08920145860521597
75010,0.17471685111252372
75011,0.022709177996369387
75012,0.04241582768636486
75013,0.02282495936664948
75014,0.34882905113155216
75015,0.31919779936168446
75016,0.09189716338200532
75017,0.014031912816637841
75018,0.006161278723813795
75019,0.1278576415503174
75020,0.024850905138006037
75021,0.07964591250793561
75022,0.11073501510310522
75023,0.016493806571415463
75024,0.10384321674178497
75025,0.18826101164343562
75026,0.018826187580882454
75027,0.00924013359615405
75028,0.02784626568856225
75029,0.01025957634866018
75030,0.026383871539125827
75031,0.010138820166551639
75032,0.09153772021548737
75033,0.07268481596147362
75034,0.01047315175806257
75035,0.007952194360753973
75036,0.023248494924861658
75037,0.020061984964035023
75038,0.009746760852721371
75039,0.11388328878377264
75040,0.014107625735345434
75041,0.029646249139404238
75042,0.007871995393148994
75043,0.01174628526402116
75044,0.017743740434584626
75045,0.050924113736746136
75046,0.011007358304898986
75047,0.014027722331639165
75048,0.25081945994122173
75049,0.19301728049700226
75050,0.0065220098724744335
75051,0.0090074639118041
75052,0.2658893410329527
75053,0.009021200083816206
75054,0.04930493942938293
75055,0.013836011566558393
75056,0.04257844705370411
75057,0.11955340842727628
75058,0.047364664665249946
75059,0.11867521049472635
75060,0.18917258399675352
75061,0.01627361455284497
75062,0.13335762287967148
75063,0.01915594516356737
75064,0.05020293247159835
75065,0.02360612079674341
75066,0.011369258916808504
75067,0.044299333398316966
75068,0.05717784770674455
75069,0.03300703558859754
75070,0.024542354930730516
75071,0.02750007043190942
75072,0.04839359602881132
75073,0.0631190017826121
75074,0.1242653154825423
75075,0.020924957137352193
75076,0.018025962341459013
75077,0.12881009010593011
75078,0.15388565151685973
75079,0.013524284299313004
75080,0.049237452722644556
75081,0.15677679145446818
75082,0.014569427252784779
75083,0.0294429350824163
75084,0.013102405640251771
75085,0.022079543614482194
75086,0.048740966663482654
75087,0.015469123511998957
75088,0.011833333117943039
75089,0.010813669684543104
75090,0.012622631646017981
75091,0.018621077229731466
75092,0.08310782736901119
75093,0.02449796819897485
75094,0.008334612394285108
75095,0.06692499070227584
75096,0.012033704673669078
75097,0.05037001517278238
75098,0.02896674123408501
75099,0.027082723359186517
75100,0.0742146450020697
75101,0.013198710337577831
75102,0.025812004831870624
75103,0.02894355669991883
75104,0.10691564384298989
75105,0.2171349934423845
75106,0.03856580697518128
75107,0.0210472713337375
75108,0.011659554567285593
75109,0.016790783944122905
75110,0.010593561921668134
75111,0.09174206178097573
75112,0.006985396139320001
75113,0.010635383090638561
75114,0.005926808574520377
75115,0.023858686042098017
